iter	Passed	Remaining
0	2	3624
1	4	3450
2	6	3384
3	9	3538
4	11	3513
5	14	3509
6	16	3530
7	19	3566
8	21	3567
9	24	3589
10	26	3642
11	29	3625
12	31	3602
13	34	3652
14	37	3667
15	39	3678
16	42	3690
17	45	3713
18	47	3720
19	50	3719
20	52	3715
21	55	3760
22	58	3770
23	61	3776
24	64	3791
25	66	3785
26	69	3810
27	72	3837
28	75	3832
29	78	3842
30	81	3856
31	84	3856
32	86	3845
33	89	3853
34	92	3853
35	94	3837
36	96	3822
37	98	3803
38	101	3784
39	103	3785
40	106	3804
41	109	3806
42	112	3799
43	114	3800
44	117	3788
45	119	3790
46	122	3793
47	125	3784
48	127	3775
49	129	3764
50	132	3768
51	135	3760
52	137	3764
53	140	3760
54	142	3752
55	145	3741
56	147	3734
57	150	3735
58	153	3743
59	155	3743
60	158	3740
61	161	3735
62	163	3726
63	165	3719
64	168	3730
65	171	3729
66	174	3723
67	176	3717
68	178	3711
69	181	3707
70	184	3705
71	186	3701
72	188	3689
73	191	3684
74	193	3676
75	195	3667
76	198	3659
77	200	3659
78	203	3660
79	205	3654
80	209	3666
81	212	3667
82	214	3669
83	217	3673
84	220	3669
85	223	3666
86	225	3665
87	228	3663
88	230	3658
89	233	3661
90	236	3657
91	238	3655
92	241	3649
93	243	3644
94	246	3640
95	249	3644
96	251	3641
97	254	3637
98	256	3634
99	259	3630
100	261	3623
101	263	3618
102	266	3618
103	269	3613
104	271	3609
105	274	3605
106	276	3599
107	278	3594
108	281	3593
109	284	3589
110	286	3584
111	288	3578
112	291	3574
113	293	3572
114	296	3569
115	299	3569
116	301	3564
117	303	3559
118	306	3559
119	309	3557
120	311	3553
121	314	3552
122	316	3547
123	319	3540
124	321	3537
125	323	3531
126	326	3526
127	328	3524
128	331	3524
129	334	3524
130	336	3520
131	339	3516
132	341	3512
133	344	3509
134	347	3509
135	349	3507
136	352	3503
137	354	3502
138	357	3498
139	359	3496
140	362	3497
141	365	3495
142	368	3492
143	370	3489
144	373	3486
145	375	3484
